"","logFC","logCPM","LR","PValue","FDR"
"LUC7L2",-0.0692817796485304,5.5082247748345,0.184589878488302,0.667458086534902,0.933145990211976
"SOS1",0.0937874278328213,6.09024281425138,0.184568384179762,0.667476286116201,0.933145990211976
"AC022098.1",-0.129329921162901,1.33560895225525,0.184508217248048,0.66752723711368,0.933145990211976
"METTL7A",0.0891562660141888,7.99536100472076,0.18439167711184,0.66762595447279,0.933145990211976
"AL031668.1",-0.20410046373928,0.0352253998266914,0.184380754095656,0.667635208898204,0.933145990211976
"HNRNPD",-0.0692108043386986,5.94453066009506,0.18431439278711,0.667691439888141,0.933145990211976
"AF001548.2",-0.189186612267778,0.431151090315057,0.184270914842262,0.667728287251812,0.933145990211976
"TAMM41",0.105264939249382,3.42795760083946,0.184196413924141,0.667791438416728,0.933145990211976
"PROSER2",-0.108188488508972,2.96134694375095,0.18418451560272,0.6678015255031,0.933145990211976
"AP003096.1",-0.178046772671429,0.319788001577413,0.18417086656159,0.667813097279116,0.933145990211976
"ALDH9A1",0.0787365062477139,7.39614435145118,0.183961953829515,0.667990278712155,0.933327993749286
"AC232271.1",0.120959840110512,1.98128179914455,0.183882565234086,0.668057640379594,0.933356540349095
"COX17",0.0864215014663014,2.95916867593175,0.18374388552912,0.668175352198628,0.93336143126196
"CCDC14",0.0796377656481393,6.86120354316092,0.183734246586289,0.668183535721241,0.93336143126196
"PRIMA1",-0.21485733072476,2.08430089521477,0.183633212063047,0.668269329956568,0.93336143126196
"PEX1",-0.0727062656577217,6.04054412647279,0.183500860013387,0.668381759985377,0.93336143126196
"TAZ",0.081597314773467,4.17945607183492,0.183409875841168,0.668459076786773,0.93336143126196
"CSTF2",0.08275713053598,3.25770991998951,0.183276109127364,0.66857279068539,0.93336143126196
"BACH2",-0.0942793197773139,3.84169819774742,0.183252907447391,0.668592519224762,0.93336143126196
"ARMH4",0.116578454069542,2.83034451457565,0.1831421907916,0.668686682674089,0.93336143126196
"PIK3R1",-0.0862738456063963,8.50864354132385,0.183047731513884,0.668767046004866,0.93336143126196
"MMP21",-0.17982160458102,0.178946612479952,0.183019217840169,0.66879130946675,0.93336143126196
